date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,TKL,Tackles,0.04,0.0,0.04,PASS,0.5,0.53,0.39,0.41
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.11,0.08,0.08
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-02,Belgium@USA,USA_GK_1,USA,GK,True,PAS,Passes,6.97,6.1,0.87,PASS,28.0,29.4,22.12,23.22
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,TKL,Tackles,0.01,0.0,0.01,PASS,0.5,0.53,0.39,0.41
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.11,0.08,0.08
2026-07-02,Belgium@USA,USA_GK_2,USA,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
