date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-10,Spain@France,France_GK_1,France,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_1,France,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_1,France,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_1,France,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_1,France,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_1,France,GK,True,TKL,Tackles,0.05,0.0,0.05,PASS,0.5,0.62,0.44,0.46
2026-07-10,Spain@France,France_GK_1,France,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.12,0.09,0.09
2026-07-10,Spain@France,France_GK_1,France,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_GK_1,France,GK,True,PAS,Passes,7.81,6.8,1.01,OVER,28.0,35.0,24.79,26.03
2026-07-10,Spain@France,France_GK_2,France,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_2,France,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_2,France,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_2,France,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_2,France,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-10,Spain@France,France_GK_2,France,GK,False,TKL,Tackles,0.01,0.0,0.01,PASS,0.5,0.62,0.44,0.46
2026-07-10,Spain@France,France_GK_2,France,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.12,0.09,0.09
2026-07-10,Spain@France,France_GK_2,France,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_GK_2,France,GK,False,PAS,Passes,2.34,2.0,0.34,PASS,28.0,35.0,24.79,26.03
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.07,0.07
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.19,0.13,0.14
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,S,Shots,0.06,0.0,0.06,PASS,0.4,0.5,0.35,0.37
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,COR,Corners,0.49,0.4,0.09,PASS,1.5,1.88,1.33,1.39
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,TKL,Tackles,0.81,0.7,0.11,PASS,2.5,3.12,2.21,2.32
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,FC,Fouls Committed,0.28,0.2,0.08,PASS,1.2,1.5,1.06,1.12
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,CRD,Cards,0.08,0.0,0.08,PASS,0.25,0.31,0.22,0.23
2026-07-10,Spain@France,France_DEF_1,France,DEF,True,PAS,Passes,8.37,7.3,1.07,OVER,45.0,56.25,39.84,41.84
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.07,0.07
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.19,0.13,0.14
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,S,Shots,0.06,0.0,0.06,PASS,0.4,0.5,0.35,0.37
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,COR,Corners,0.49,0.4,0.09,PASS,1.5,1.88,1.33,1.39
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,TKL,Tackles,0.81,0.7,0.11,PASS,2.5,3.12,2.21,2.32
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,FC,Fouls Committed,0.28,0.2,0.08,PASS,1.2,1.5,1.06,1.12
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,CRD,Cards,0.08,0.0,0.08,PASS,0.25,0.31,0.22,0.23
2026-07-10,Spain@France,France_DEF_2,France,DEF,True,PAS,Passes,8.37,7.3,1.07,OVER,45.0,56.25,39.84,41.84
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.07,0.07
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.19,0.13,0.14
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,S,Shots,0.06,0.0,0.06,PASS,0.4,0.5,0.35,0.37
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,COR,Corners,0.49,0.4,0.09,PASS,1.5,1.88,1.33,1.39
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,TKL,Tackles,0.81,0.7,0.11,PASS,2.5,3.12,2.21,2.32
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,FC,Fouls Committed,0.28,0.2,0.08,PASS,1.2,1.5,1.06,1.12
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,CRD,Cards,0.08,0.0,0.08,PASS,0.25,0.31,0.22,0.23
2026-07-10,Spain@France,France_DEF_3,France,DEF,True,PAS,Passes,8.37,7.3,1.07,OVER,45.0,56.25,39.84,41.84
2026-07-10,Spain@France,France_DEF_4,France,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.06,0.04,0.05
2026-07-10,Spain@France,France_DEF_4,France,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.1,0.07,0.07
