date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,TKL,Tackles,0.04,0.0,0.04,PASS,0.5,0.51,0.4,0.42
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.1,0.08,0.08
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-04,Colombia@Switzerland,Switzerland_GK_1,Switzerland,GK,True,PAS,Passes,7.08,6.2,0.88,PASS,28.0,28.56,22.48,23.6
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,G,Goals,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,A,Assists,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,SOT,Shots on Target,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,S,Shots,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,COR,Corners,0.0,0.0,0.0,PASS,0.0,0.0,0.0,0.0
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,TKL,Tackles,0.01,0.0,0.01,PASS,0.5,0.51,0.4,0.42
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,FC,Fouls Committed,0.0,0.0,0.0,PASS,0.1,0.1,0.08,0.08
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,CRD,Cards,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-04,Colombia@Switzerland,Switzerland_GK_2,Switzerland,GK,False,PAS,Passes,2.12,1.8,0.32,PASS,28.0,28.56,22.48,23.6
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.15,0.12,0.13
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.41,0.32,0.34
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.53,1.2,1.26
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,TKL,Tackles,0.74,0.6,0.14,PASS,2.5,2.55,2.01,2.11
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.22,0.96,1.01
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
2026-07-04,Colombia@Switzerland,Switzerland_DEF_1,Switzerland,DEF,True,PAS,Passes,7.59,6.6,0.99,PASS,45.0,45.9,36.12,37.93
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,G,Goals,0.0,0.0,0.0,PASS,0.05,0.05,0.04,0.04
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,A,Assists,0.01,0.0,0.01,PASS,0.08,0.08,0.06,0.07
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,SOT,Shots on Target,0.01,0.0,0.01,PASS,0.15,0.15,0.12,0.13
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,S,Shots,0.05,0.0,0.05,PASS,0.4,0.41,0.32,0.34
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,COR,Corners,0.44,0.3,0.14,PASS,1.5,1.53,1.2,1.26
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,TKL,Tackles,0.74,0.6,0.14,PASS,2.5,2.55,2.01,2.11
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,FC,Fouls Committed,0.25,0.2,0.05,PASS,1.2,1.22,0.96,1.01
2026-07-04,Colombia@Switzerland,Switzerland_DEF_2,Switzerland,DEF,True,CRD,Cards,0.07,0.0,0.07,PASS,0.25,0.26,0.2,0.21
