name,team,sport,stat,matchup,projection,line,edge,direction,reason
Jamal Musiala,ENG,wc,goals,ENG@FRA,0.18,0.19,-0.010000000000000009,UNDER,Jamal Musiala shows UNDER value at 0.2 GOALS. TC projection: 0.2 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,assists,ENG@FRA,0.22,0.21,0.010000000000000009,OVER,Jamal Musiala shows OVER value at 0.2 ASSISTS. TC projection: 0.2 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,shots,ENG@FRA,1.98,2.14,-0.16000000000000014,UNDER,Jamal Musiala shows UNDER value at 2.1 SHOTS. TC projection: 2.0 — edge: 0.16. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,shots_on_target,ENG@FRA,0.67,0.73,-0.05999999999999994,UNDER,Jamal Musiala shows UNDER value at 0.7 SHOTS_ON_TARGET. TC projection: 0.7 — edge: 0.06. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,passes,ENG@FRA,27.0,25.0,2.0,OVER,Targeting Jamal Musiala OVER 25.0 PASSES. Model projects 27.0 (2.00 edge). Recent trends and opponent weakness support this play.
Jamal Musiala,ENG,wc,tackles,ENG@FRA,1.87,2.01,-0.13999999999999968,UNDER,Jamal Musiala shows UNDER value at 2.0 TACKLES. TC projection: 1.9 — edge: 0.14. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,yellow_cards,ENG@FRA,0.16,0.14,0.01999999999999999,OVER,Jamal Musiala shows OVER value at 0.1 YELLOW_CARDS. TC projection: 0.2 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
Jamal Musiala,ENG,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,Targeting Jamal Musiala UNDER 0.0 SAVES. Model projects 0.0 (0.00 edge). Recent trends and opponent weakness support this play.
Kylian Mbappe,ENG,wc,goals,ENG@FRA,0.25,0.24,0.010000000000000009,OVER,Targeting Kylian Mbappe OVER 0.2 GOALS. Model projects 0.2 (0.01 edge). Recent trends and opponent weakness support this play.
Kylian Mbappe,ENG,wc,assists,ENG@FRA,0.14,0.13,0.010000000000000009,OVER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.1 ASSISTS vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,shots,ENG@FRA,1.49,1.38,0.1100000000000001,OVER,Targeting Kylian Mbappe OVER 1.4 SHOTS. Model projects 1.5 (0.11 edge). Recent trends and opponent weakness support this play.
Kylian Mbappe,ENG,wc,shots_on_target,ENG@FRA,0.65,0.7,-0.04999999999999993,UNDER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.7 SHOTS_ON_TARGET vs a line of 0.7, giving a UNDER edge of 0.05. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,passes,ENG@FRA,26.0,24.0,2.0,OVER,"Moderate +EV opportunity: Kylian Mbappe is projected for 26.0 PASSES vs a line of 24.0, giving a OVER edge of 2.00. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,tackles,ENG@FRA,1.12,1.21,-0.08999999999999986,UNDER,Kylian Mbappe shows UNDER value at 1.2 TACKLES. TC projection: 1.1 — edge: 0.09. Marginal conviction based on usage rate and defensive matchup.
Kylian Mbappe,ENG,wc,yellow_cards,ENG@FRA,0.17,0.16,0.010000000000000009,OVER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.2 YELLOW_CARDS vs a line of 0.2, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Kylian Mbappe,ENG,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,"Marginal +EV opportunity: Kylian Mbappe is projected for 0.0 SAVES vs a line of 0.0, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,goals,ENG@FRA,0.23,0.21,0.020000000000000018,OVER,Cristiano Ronaldo shows OVER value at 0.2 GOALS. TC projection: 0.2 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
Cristiano Ronaldo,ENG,wc,assists,ENG@FRA,0.21,0.23,-0.020000000000000018,UNDER,"Marginal +EV opportunity: Cristiano Ronaldo is projected for 0.2 ASSISTS vs a line of 0.2, giving a UNDER edge of 0.02. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,shots,ENG@FRA,1.52,1.36,0.15999999999999992,OVER,Cristiano Ronaldo shows OVER value at 1.4 SHOTS. TC projection: 1.5 — edge: 0.16. Marginal conviction based on usage rate and defensive matchup.
Cristiano Ronaldo,ENG,wc,shots_on_target,ENG@FRA,0.6,0.66,-0.06000000000000005,UNDER,"Marginal +EV opportunity: Cristiano Ronaldo is projected for 0.6 SHOTS_ON_TARGET vs a line of 0.7, giving a UNDER edge of 0.06. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,passes,ENG@FRA,31.0,28.0,3.0,OVER,"Strong +EV opportunity: Cristiano Ronaldo is projected for 31.0 PASSES vs a line of 28.0, giving a OVER edge of 3.00. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,tackles,ENG@FRA,1.93,2.15,-0.21999999999999997,UNDER,"Marginal +EV opportunity: Cristiano Ronaldo is projected for 1.9 TACKLES vs a line of 2.1, giving a UNDER edge of 0.22. Based on recent form, opponent matchup, and game context."
Cristiano Ronaldo,ENG,wc,yellow_cards,ENG@FRA,0.16,0.17,-0.010000000000000009,UNDER,Targeting Cristiano Ronaldo UNDER 0.2 YELLOW_CARDS. Model projects 0.2 (0.01 edge). Recent trends and opponent weakness support this play.
Cristiano Ronaldo,ENG,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,Cristiano Ronaldo shows UNDER value at 0.0 SAVES. TC projection: 0.0 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Pedri,ENG,wc,goals,ENG@FRA,0.18,0.2,-0.020000000000000018,UNDER,"Marginal +EV opportunity: Pedri is projected for 0.2 GOALS vs a line of 0.2, giving a UNDER edge of 0.02. Based on recent form, opponent matchup, and game context."
Pedri,ENG,wc,assists,ENG@FRA,0.18,0.16,0.01999999999999999,OVER,Pedri shows OVER value at 0.2 ASSISTS. TC projection: 0.2 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
Pedri,ENG,wc,shots,ENG@FRA,1.71,1.89,-0.17999999999999994,UNDER,Pedri shows UNDER value at 1.9 SHOTS. TC projection: 1.7 — edge: 0.18. Marginal conviction based on usage rate and defensive matchup.
Pedri,ENG,wc,shots_on_target,ENG@FRA,0.99,1.09,-0.10000000000000009,UNDER,Targeting Pedri UNDER 1.1 SHOTS_ON_TARGET. Model projects 1.0 (0.10 edge). Recent trends and opponent weakness support this play.
Pedri,ENG,wc,passes,ENG@FRA,38.0,35.0,3.0,OVER,Targeting Pedri OVER 35.0 PASSES. Model projects 38.0 (3.00 edge). Recent trends and opponent weakness support this play.
Pedri,ENG,wc,tackles,ENG@FRA,1.43,1.53,-0.10000000000000009,UNDER,"Marginal +EV opportunity: Pedri is projected for 1.4 TACKLES vs a line of 1.5, giving a UNDER edge of 0.10. Based on recent form, opponent matchup, and game context."
Pedri,ENG,wc,yellow_cards,ENG@FRA,0.16,0.18,-0.01999999999999999,UNDER,Targeting Pedri UNDER 0.2 YELLOW_CARDS. Model projects 0.2 (0.02 edge). Recent trends and opponent weakness support this play.
Pedri,ENG,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,Targeting Pedri UNDER 0.0 SAVES. Model projects 0.0 (0.00 edge). Recent trends and opponent weakness support this play.
Harry Kane,FRA,wc,goals,ENG@FRA,0.3,0.33,-0.030000000000000027,UNDER,Targeting Harry Kane UNDER 0.3 GOALS. Model projects 0.3 (0.03 edge). Recent trends and opponent weakness support this play.
Harry Kane,FRA,wc,assists,ENG@FRA,0.16,0.18,-0.01999999999999999,UNDER,Harry Kane shows UNDER value at 0.2 ASSISTS. TC projection: 0.2 — edge: 0.02. Marginal conviction based on usage rate and defensive matchup.
Harry Kane,FRA,wc,shots,ENG@FRA,2.07,1.96,0.10999999999999988,OVER,"Marginal +EV opportunity: Harry Kane is projected for 2.1 SHOTS vs a line of 2.0, giving a OVER edge of 0.11. Based on recent form, opponent matchup, and game context."
Harry Kane,FRA,wc,shots_on_target,ENG@FRA,0.65,0.73,-0.07999999999999996,UNDER,Targeting Harry Kane UNDER 0.7 SHOTS_ON_TARGET. Model projects 0.7 (0.08 edge). Recent trends and opponent weakness support this play.
Harry Kane,FRA,wc,passes,ENG@FRA,44.0,40.0,4.0,OVER,Harry Kane shows OVER value at 40.0 PASSES. TC projection: 44.0 — edge: 4.00. Strong conviction based on usage rate and defensive matchup.
Harry Kane,FRA,wc,tackles,ENG@FRA,1.83,1.71,0.1200000000000001,OVER,Targeting Harry Kane OVER 1.7 TACKLES. Model projects 1.8 (0.12 edge). Recent trends and opponent weakness support this play.
Harry Kane,FRA,wc,yellow_cards,ENG@FRA,0.12,0.13,-0.010000000000000009,UNDER,Targeting Harry Kane UNDER 0.1 YELLOW_CARDS. Model projects 0.1 (0.01 edge). Recent trends and opponent weakness support this play.
Harry Kane,FRA,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,"Marginal +EV opportunity: Harry Kane is projected for 0.0 SAVES vs a line of 0.0, giving a UNDER edge of 0.00. Based on recent form, opponent matchup, and game context."
Vinicius Jr,FRA,wc,goals,ENG@FRA,0.32,0.35,-0.02999999999999997,UNDER,Targeting Vinicius Jr UNDER 0.3 GOALS. Model projects 0.3 (0.03 edge). Recent trends and opponent weakness support this play.
Vinicius Jr,FRA,wc,assists,ENG@FRA,0.23,0.21,0.020000000000000018,OVER,"Marginal +EV opportunity: Vinicius Jr is projected for 0.2 ASSISTS vs a line of 0.2, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
Vinicius Jr,FRA,wc,shots,ENG@FRA,1.29,1.16,0.13000000000000012,OVER,Vinicius Jr shows OVER value at 1.2 SHOTS. TC projection: 1.3 — edge: 0.13. Marginal conviction based on usage rate and defensive matchup.
Vinicius Jr,FRA,wc,shots_on_target,ENG@FRA,0.89,0.94,-0.04999999999999993,UNDER,Targeting Vinicius Jr UNDER 0.9 SHOTS_ON_TARGET. Model projects 0.9 (0.05 edge). Recent trends and opponent weakness support this play.
Vinicius Jr,FRA,wc,passes,ENG@FRA,36.0,33.0,3.0,OVER,Targeting Vinicius Jr OVER 33.0 PASSES. Model projects 36.0 (3.00 edge). Recent trends and opponent weakness support this play.
Vinicius Jr,FRA,wc,tackles,ENG@FRA,1.9,1.76,0.1399999999999999,OVER,Vinicius Jr shows OVER value at 1.8 TACKLES. TC projection: 1.9 — edge: 0.14. Marginal conviction based on usage rate and defensive matchup.
Vinicius Jr,FRA,wc,yellow_cards,ENG@FRA,0.14,0.13,0.010000000000000009,OVER,Vinicius Jr shows OVER value at 0.1 YELLOW_CARDS. TC projection: 0.1 — edge: 0.01. Marginal conviction based on usage rate and defensive matchup.
Vinicius Jr,FRA,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,Vinicius Jr shows UNDER value at 0.0 SAVES. TC projection: 0.0 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Kevin De Bruyne,FRA,wc,goals,ENG@FRA,0.22,0.2,0.01999999999999999,OVER,Targeting Kevin De Bruyne OVER 0.2 GOALS. Model projects 0.2 (0.02 edge). Recent trends and opponent weakness support this play.
Kevin De Bruyne,FRA,wc,assists,ENG@FRA,0.21,0.19,0.01999999999999999,OVER,"Marginal +EV opportunity: Kevin De Bruyne is projected for 0.2 ASSISTS vs a line of 0.2, giving a OVER edge of 0.02. Based on recent form, opponent matchup, and game context."
Kevin De Bruyne,FRA,wc,shots,ENG@FRA,1.9,2.09,-0.18999999999999995,UNDER,Targeting Kevin De Bruyne UNDER 2.1 SHOTS. Model projects 1.9 (0.19 edge). Recent trends and opponent weakness support this play.
Kevin De Bruyne,FRA,wc,shots_on_target,ENG@FRA,0.98,1.09,-0.1100000000000001,UNDER,"Marginal +EV opportunity: Kevin De Bruyne is projected for 1.0 SHOTS_ON_TARGET vs a line of 1.1, giving a UNDER edge of 0.11. Based on recent form, opponent matchup, and game context."
Kevin De Bruyne,FRA,wc,passes,ENG@FRA,31.0,28.0,3.0,OVER,Targeting Kevin De Bruyne OVER 28.0 PASSES. Model projects 31.0 (3.00 edge). Recent trends and opponent weakness support this play.
Kevin De Bruyne,FRA,wc,tackles,ENG@FRA,1.56,1.39,0.17000000000000015,OVER,Targeting Kevin De Bruyne OVER 1.4 TACKLES. Model projects 1.6 (0.17 edge). Recent trends and opponent weakness support this play.
Kevin De Bruyne,FRA,wc,yellow_cards,ENG@FRA,0.16,0.15,0.010000000000000009,OVER,"Marginal +EV opportunity: Kevin De Bruyne is projected for 0.2 YELLOW_CARDS vs a line of 0.1, giving a OVER edge of 0.01. Based on recent form, opponent matchup, and game context."
Kevin De Bruyne,FRA,wc,saves,ENG@FRA,0.0,0.0,0.0,UNDER,Targeting Kevin De Bruyne UNDER 0.0 SAVES. Model projects 0.0 (0.00 edge). Recent trends and opponent weakness support this play.
Lionel Messi,FRA,wc,goals,ENG@FRA,0.29,0.26,0.02999999999999997,OVER,"Marginal +EV opportunity: Lionel Messi is projected for 0.3 GOALS vs a line of 0.3, giving a OVER edge of 0.03. Based on recent form, opponent matchup, and game context."
Lionel Messi,FRA,wc,assists,ENG@FRA,0.18,0.19,-0.010000000000000009,UNDER,"Marginal +EV opportunity: Lionel Messi is projected for 0.2 ASSISTS vs a line of 0.2, giving a UNDER edge of 0.01. Based on recent form, opponent matchup, and game context."
