date,matchup,player,team,position,is_starter,stat,stat_name,tc_projection,tc_line,edge,signal,tc_raw,tc_team_adj,tc_opp_adj,tc_home_adj,source
2026-07-13,Argentina@England,England_GK_1,England,GK,True,PAS,Passes,7.53,7.5,0.03,PASS,28.0,34.16,23.91,25.11,SELF_EDGE
2026-07-13,Argentina@England,England_GK_2,England,GK,False,PAS,Passes,2.26,2.5,-0.24,PASS,28.0,34.16,23.91,25.11,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_1,England,DEF,True,TKL,Tackles,0.78,1.0,-0.22,UNDER,2.5,3.05,2.13,2.24,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_1,England,DEF,True,PAS,Passes,8.07,8.0,0.07,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_2,England,DEF,True,TKL,Tackles,0.78,1.0,-0.22,UNDER,2.5,3.05,2.13,2.24,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_2,England,DEF,True,PAS,Passes,8.07,8.0,0.07,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_3,England,DEF,True,TKL,Tackles,0.78,1.0,-0.22,UNDER,2.5,3.05,2.13,2.24,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_3,England,DEF,True,PAS,Passes,8.07,8.0,0.07,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_4,England,DEF,True,TKL,Tackles,0.78,1.0,-0.22,UNDER,2.5,3.05,2.13,2.24,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_4,England,DEF,True,PAS,Passes,8.07,8.0,0.07,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_5,England,DEF,False,PAS,Passes,2.42,2.5,-0.08,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_DEF_6,England,DEF,False,PAS,Passes,2.42,2.5,-0.08,PASS,45.0,54.9,38.43,40.35,SELF_EDGE
2026-07-13,Argentina@England,England_MID_1,England,MID,True,TKL,Tackles,0.63,0.5,0.13,OVER,2.0,2.44,1.71,1.79,SELF_EDGE
2026-07-13,Argentina@England,England_MID_1,England,MID,True,FC,Fouls Committed,0.54,0.5,0.04,PASS,1.5,1.83,1.28,1.35,SELF_EDGE
2026-07-13,Argentina@England,England_MID_1,England,MID,True,PAS,Passes,16.32,16.5,-0.18,PASS,52.0,63.44,44.41,46.63,SELF_EDGE
2026-07-13,Argentina@England,England_MID_2,England,MID,True,TKL,Tackles,0.63,0.5,0.13,OVER,2.0,2.44,1.71,1.79,SELF_EDGE
2026-07-13,Argentina@England,England_MID_2,England,MID,True,FC,Fouls Committed,0.54,0.5,0.04,PASS,1.5,1.83,1.28,1.35,SELF_EDGE
2026-07-13,Argentina@England,England_MID_2,England,MID,True,PAS,Passes,16.32,16.5,-0.18,PASS,52.0,63.44,44.41,46.63,SELF_EDGE
2026-07-13,Argentina@England,England_MID_3,England,MID,True,TKL,Tackles,0.63,0.5,0.13,OVER,2.0,2.44,1.71,1.79,SELF_EDGE
2026-07-13,Argentina@England,England_MID_3,England,MID,True,FC,Fouls Committed,0.54,0.5,0.04,PASS,1.5,1.83,1.28,1.35,SELF_EDGE
2026-07-13,Argentina@England,England_MID_3,England,MID,True,PAS,Passes,16.32,16.5,-0.18,PASS,52.0,63.44,44.41,46.63,SELF_EDGE
